date,base_price,count,num_id
2019-01-01,1.6657,2.0,NAS1802-3-7P _ 1600.0
2019-01-01,211.49,2.0,7007873-907 _ 1009.0
2019-01-01,77.1201,2.0,8537425 _ 1073.0
2019-01-01,2298.0,1.0,34209950-RN14-960 _ 1039.0
2019-01-01,21.0432,2.0,CA236 _ 1600.0
2019-01-01,2309.406,2.0,230-00063-8800 _ 5210.0
2019-01-01,77.2198,2.0,440-0739-002 _ 1095.0
2019-01-01,210.3245,2.0,72325252-4 _ 1600.0
2019-01-01,2325.6071,2.0,9998777 _ 1600.0
2019-01-01,2329.3825,2.0,4072822-1003//CM _ 5210.0
2019-01-01,2336.9557,2.0,4076776-1002 _ 1103.0
2019-01-01,20.9271,2.0,230-00572-3740 _ 5210.0
2019-01-01,1.6495,2.0,7027210-913 _ 5210.0
2019-01-01,208.55,2.0,9998061 _ 1600.0
2019-01-01,2365.6204,2.0,26016707-102 _ 1062.0
2019-01-01,2366.0,1.0,HG9910A01 _ 1039.0
2019-01-01,2367.3,2.0,240-00835-0008 _ 5210.0
2019-01-01,77.7984,2.0,72511011-1 _ 1600.0
2019-01-01,8.25,1.0,0039014030 _ 1006.0
2019-01-01,20.7845,2.0,72325757-1 _ 1600.0
2019-01-01,2385.0,1.0,HG9886F01 _ 1039.0
2019-01-01,1973.7135,2.0,7516116-910 _ 5210.0
2019-01-01,8.5714,2.0,SY9730078-2 _ 1009.0
2019-01-01,1972.5847,2.0,7036765-2913 _ 5210.0
2019-01-01,1964.0,1.0,HG9911E01 _ 1039.0
2019-01-01,1648.3831,2.0,7025368-1908//CM _ 5210.0
2019-01-01,24.0,2.0,7007159 _ 1009.0
2019-01-01,249.3522,2.0,87106-039 _ 1073.0
2019-01-01,1660.4197,2.0,7028152-911K _ 5210.0
2019-01-01,249.0022,2.0,7018643-903 _ 1009.0
2019-01-01,1.93,1.0,AS21919WCJ07 _ 1600.0
2019-01-01,1668.226,2.0,7029092-802 _ 5210.0
2019-01-01,248.6816,2.0,62001127-1001//CM _ 5210.0
2019-01-01,1684.48,2.0,7028560-921K _ 5210.0
2019-01-01,1690.0,1.0,HG9910D02 _ 1039.0
2019-01-01,1690.0,1.0,34200600-2C35 _ 1039.0
2019-01-01,1642.2436,2.0,7025368-1910//CM _ 5210.0
2019-01-01,1690.0,1.0,34200600-30S5A _ 1039.0
2019-01-01,247.5342,2.0,72326749-1 _ 1600.0
2019-01-01,1699.3347,2.0,7029092-812 _ 5210.0
2019-01-01,246.7874,2.0,53500544-4 _ 1039.0
2019-01-01,0.41,2.0,RG20P20.0KBCT-ND//TE _ 1045.0
2019-01-01,1.916,2.0,34211108-010 _ 1039.0
2019-01-01,1704.8933,2.0,7035876-901 _ 5210.0
2019-01-01,1714.1667,1.0,200-04872-0000 _ 5253.0
2019-01-01,41.57,2.0,34271691-001 _ 1039.0
2019-01-01,1716.3962,2.0,34213511-003 _ 1039.0
2019-01-01,69.5624,2.0,8272558-068 _ 1006.0
2019-01-01,244.5037,2.0,26018623-101CM _ 1062.0
2019-01-01,23.8169,2.0,60003084-1 _ 5210.0
2019-01-01,0.4169,2.0,2503594-1//U _ 1073.0
2019-01-01,24.17,1.0,02011601101 _ 1006.0
2019-01-01,1626.62,2.0,7030425-908 _ 5210.0
2019-01-01,1539.6909,2.0,722-4357-006 _ 1009.0
2019-01-01,66.4774,2.0,03215071-0002 _ 1009.0
2019-01-01,0.0111,2.0,2504188-60 _ 5210.0
2019-01-01,1558.7162,2.0,230-08714-8800 _ 5210.0
2019-01-01,1570.1968,2.0,4091624-1003//CM _ 5210.0
2019-01-01,1571.27,1.0,7018370-906//CM _ 1103.0
2019-01-01,1573.0,1.0,HG9869J1-001 _ 1039.0
2019-01-01,1573.0,1.0,34200750-R041-960 _ 1039.0
2019-01-01,1573.0,1.0,34209950-RN14-021 _ 1039.0
2019-01-01,256.5531,2.0,A2306 _ 1600.0
2019-01-01,1581.267,2.0,8526920-903 _ 1073.0
2019-01-01,250.9,2.0,7020157-902 _ 1103.0
2019-01-01,255.8201,2.0,WG2001AA02 _ 1062.0
2019-01-01,67.3163,2.0,11-5775-5 _ 1600.0
2019-01-01,1602.5957,2.0,7026200-908 _ 5210.0
2019-01-01,1603.5808,2.0,4091415-1002//CM _ 5210.0
2019-01-01,1608.5048,2.0,26018293-202CM _ 1062.0
2019-01-01,1611.8315,2.0,4071380-1004//CM _ 1103.0
2019-01-01,1612.5053,2.0,7511960-906 _ 5210.0
2019-01-01,7.0257,2.0,10190-0326 _ 5210.0
2019-01-01,0.01,2.0,089-08107-0034 _ 5210.0
2019-01-01,0.01,1.0,0770-3 _ 5210.0
2019-01-01,67.9582,2.0,10160280-101 _ 1064.0
2019-01-01,1624.1642,2.0,7033760-4 _ 1009.0
2019-01-01,24.5679,2.0,7036199-1 _ 5210.0
2019-01-01,243.6516,1.0,68001100-104__MAJ _ 1064.0
2019-01-01,243.5419,1.0,10154650-118__REA _ 1064.0
2019-01-01,242.9931,2.0,10153162-101 _ 1103.0
2019-01-01,0.4308,2.0,LW130 _ 1600.0
2019-01-01,0.4371,2.0,D55342K07B38D3P _ 1039.0
2019-01-01,232.0452,2.0,62001747-1001 _ 1103.0
2019-01-01,1881.0723,2.0,230-08704-8800 _ 5210.0
2019-01-01,7.65,1.0,53000753-2 _ 1600.0
2019-01-01,1896.2747,2.0,4089742-901//CM _ 5210.0
2019-01-01,1900.0,1.0,2816638-2 _ 1073.0
2019-01-01,1902.3333,1.0,34209950-RN12-001 _ 1039.0
2019-01-01,1925.0,1.0,HG9869T2-012 _ 1039.0
2019-01-01,228.442,2.0,8713076-201 _ 1045.0
2019-01-01,1932.5132,2.0,7021460-3 _ 1009.0
2019-01-01,71.6,1.0,25-0929-1495 _ 1600.0
2019-01-01,1934.881,2.0,200-09024-0000 _ 1009.0
2019-01-01,0.44,1.0,NS5342 _ 1600.0
2019-01-01,1942.22,1.0,8064069-0502 _ 5253.0
2019-01-01,1951.3167,2.0,8528965-935 _ 1073.0
2019-01-01,1953.1937,2.0,7517959-902 _ 1103.0
2019-01-01,1953.3555,2.0,7030900-905 _ 1103.0
2019-01-01,1956.3681,2.0,7517959-904 _ 1103.0
2019-01-01,72.882,2.0,600-6313-001 _ 1009.0
2019-01-01,1958.0585,2.0,7030900-907 _ 1103.0
2019-01-01,1959.375,1.0,FG250A55 _ 1062.0
2019-01-01,72.92,2.0,34270801-002 _ 1039.0
2019-01-01,1962.0791,2.0,7511930-905 _ 5210.0
2019-01-01,22.33,1.0,260-4492 _ 1095.0
2019-01-01,1.8377,2.0,089-06167-0012 _ 1009.0
2019-01-01,233.26,2.0,722-4461-985 _ 5210.0
2019-01-01,1852.7143,1.0,HG9910D01 _ 1039.0
2019-01-01,242.5328,2.0,68003174-106 _ 1064.0
2019-01-01,1754.31,2.0,62000932-1003 _ 1103.0
2019-01-01,1762.5,1.0,34200650-30Q7A _ 1039.0
2019-01-01,23.3352,2.0,073-00819-0002 _ 5210.0
2019-01-01,1765.9186,2.0,7029094-813 _ 5210.0
2019-01-01,1768.9074,2.0,73003505-001 _ 1073.0
2019-01-01,1770.8286,2.0,7014702-901 _ 1103.0
2019-01-01,7.43,2.0,07005L4701JABCA _ 1039.0
2019-01-01,1776.25,2.0,7025748-4 _ 1009.0
2019-01-01,1781.3196,2.0,62001316-1011//CM _ 5210.0
2019-01-01,1787.8042,2.0,3844760-2 _ 5010.0
2019-01-01,1789.8284,2.0,60000767-1004 _ 5210.0
2019-01-01,1808.25,2.0,7012986-901//CM _ 5210.0
2019-01-01,70.8175,2.0,68004411-101 _ 1064.0
2019-01-01,1810.1438,2.0,7036870-1903 _ 1009.0
2019-01-01,238.0559,2.0,34212549-004 _ 1039.0
2019-01-01,1819.52,2.0,7025368-1911//CM _ 5210.0
2019-01-01,22.8697,2.0,7009681-1 _ 5210.0
2019-01-01,1833.3909,2.0,7510164-9821 _ 5210.0
2019-01-01,0.43,2.0,7003217-66 _ 5210.0
2019-01-01,71.2762,2.0,72511029-2 _ 1600.0
2019-01-01,1842.7209,2.0,8526540-930 _ 1073.0
2019-01-01,234.7932,2.0,7028160-904K _ 5210.0
2019-01-01,234.1041,2.0,7032402-905K _ 5210.0
2019-01-01,7.5616,2.0,WI237 _ 1600.0
2019-01-01,1967.5416,2.0,26016707-101 _ 1062.0
2019-01-01,2594.97,2.0,62000931-1003 _ 1103.0
2019-01-01,80.2463,2.0,60004046-903K _ 5210.0
2019-01-01,0.52,1.0,8713. _ 1064.0
2019-01-01,4182.0,1.0,4006719-913__CAR _ 1103.0
2019-01-01,4196.4119,2.0,62003747-902 _ 1009.0
2019-01-01,4198.3855,2.0,7026200-1003 _ 5210.0
2019-01-01,166.2982,2.0,4058645-901 _ 5210.0
2019-01-01,4235.7776,1.0,6256-162__REP _ 1103.0
2019-01-01,4281.3627,2.0,7510184-855 _ 1103.0
2019-01-01,10.007,2.0,10151782-226 _ 1064.0
2019-01-01,4314.9989,2.0,8513076-950 _ 1073.0
2019-01-01,10.0123,2.0,10151782-228 _ 1064.0
2019-01-01,10.0269,2.0,10151782-220 _ 1064.0
2019-01-01,10.0483,2.0,72464304-001 _ 1600.0
2019-01-01,4122.0,1.0,360-0102-003__CAR _ 1009.0
2019-01-01,1.3013,2.0,25-1105-1 _ 1600.0
2019-01-01,4394.6333,1.0,8528900-930 _ 1008.0
2019-01-01,4454.0448,2.0,7028640-901K _ 5210.0
2019-01-01,163.6783,2.0,25-1877-23-4 _ 1600.0
2019-01-01,4464.0847,2.0,30060213-0504 _ 1009.0
2019-01-01,4486.5,1.0,3757537-3 _ 1008.0
2019-01-01,4516.0,1.0,5050261-19 _ 1008.0
2019-01-01,16.9,1.0,61-3627-1 _ 1600.0
2019-01-01,10.24,1.0,7012538-36 _ 1103.0
2019-01-01,10.242,2.0,11-1198-1 _ 1600.0
2019-01-01,162.07,2.0,7007828-901//CM _ 1103.0
2019-01-01,4605.29,1.0,16792-1A _ 1008.0
2019-01-01,4392.155,1.0,6256-164__REP _ 1103.0
2019-01-01,16.8096,2.0,AL79764 _ 1600.0
2019-01-01,4096.0618,1.0,6256-171__EXC _ 1103.0
2019-01-01,4083.4,1.0,4012373-909__CAR _ 1103.0
2019-01-01,3865.1312,2.0,8526580-921 _ 1073.0
2019-01-01,170.7864,2.0,7001889-901K _ 5210.0
2019-01-01,3877.69,2.0,7028272-1801-TB _ 1103.0
2019-01-01,17.7014,2.0,GR3451 _ 1600.0
2019-01-01,3900.8492,2.0,7028642-1 _ 1009.0
2019-01-01,170.3807,2.0,55-1547-1 _ 1600.0
2019-01-01,9.8614,2.0,10151782-224 _ 1064.0
2019-01-01,3956.5,1.0,9200-44000-0101__RPR _ 1103.0
2019-01-01,3957.79,1.0,7036410-1901 _ 1103.0
2019-01-01,3962.6051,2.0,7028660-951K _ 5210.0
2019-01-01,3964.21,1.0,6256-173__REP _ 1103.0
2019-01-01,167.6867,2.0,4091883 _ 1009.0
2019-01-01,3964.47,1.0,4012373-908__MIN _ 1103.0
