,base_price,date,count,num_id
53433,56.42,1/1/2019,1,10154650-118__HPR _ 1064.0
54071,59.74,1/1/2019,1,26019383-101 _ 1062.0
52565,51.145,1/1/2019,1,10153598-101 _ 1103.0
43383,19.49,1/1/2019,1,4056871-3 _ 5253.0
71653,675,1/1/2019,1,4092743-904 _ 1103.0
71480,654.86,1/1/2019,1,722-4877-002 _ 5253.0
79999,5082,1/1/2019,1,34200600-30H4 _ 1039.0
70930,595,1/1/2019,1,8520115-911 _ 1008.0
79917,4877.23,1/1/2019,1,3822333-1 _ 1008.0
79880,4800.42,1/1/2019,1,4089300-901 _ 5210.0
79734,4486.5,1/1/2019,1,3757537-3 _ 1008.0
80381,6042.07,1/1/2019,1,153-018132-22__NEW _ 1009.0
79814,4659.8913,1/1/2019,1,34201700-2M22A _ 1039.0
80033,5168.93,1/1/2019,1,34209700-3N7A _ 1039.0
80038,5183,1/1/2019,1,34200600-2C35A _ 1039.0
79787,4605.29,1/1/2019,1,16792-1A _ 1008.0
79743,4516,1/1/2019,1,5050261-19 _ 1008.0
71115,617.87,1/1/2019,1,980-6117-004__MIN _ 5210.0
74525,1156.95,1/1/2019,1,980-6116-002__MIN _ 5210.0
74276,1100,1/1/2019,1,3214936-3-1 _ 1039.0
74360,1117.81,1/1/2019,1,980-6116-001__MIN _ 5210.0
74077,1050,1/1/2019,1,FG6E1 _ 1062.0
75409,1383,1/1/2019,1,HG9869N1-001 _ 1039.0
75224,1330.758,1/1/2019,1,34214104-001 _ 1039.0
74018,1040,1/1/2019,1,4089200-901__MIN _ 1103.0
73986,1034.3333,1/1/2019,1,HG9868B1-001 _ 1039.0
69352,453.3,1/1/2019,1,83-0205-1 _ 1600.0
75408,1383,1/1/2019,1,HG9873N02-038 _ 1039.0
76354,1690,1/1/2019,1,HG9910D02 _ 1039.0
76355,1690,1/1/2019,1,34200600-2C35 _ 1039.0
76356,1690,1/1/2019,1,34200600-30S5A _ 1039.0
76433,1714.1667,1/1/2019,1,200-04872-0000 _ 5253.0
76530,1762.5,1/1/2019,1,34200650-30Q7A _ 1039.0
77073,2000.5,1/1/2019,1,8521858-98 _ 1073.0
76761,1852.7143,1/1/2019,1,HG9910D01 _ 1039.0
77111,2019.42,1/1/2019,1,2824882-2 _ 1008.0
77158,2041,1/1/2019,1,HG9874D1 _ 1039.0
76973,1959.375,1/1/2019,1,FG250A55 _ 1062.0
77039,1989.7647,1/1/2019,1,360-0101-002__CAR _ 1009.0
76986,1964,1/1/2019,1,HG9911E01 _ 1039.0
81331,11095.4,1/1/2019,1,2R9226A _ 1073.0
81168,9934.1404,1/1/2019,1,3775146-3__REP _ 1008.0
81282,10732.972,1/1/2019,1,3854009-2 _ 1008.0
80732,7459.28,1/1/2019,1,4091600-913-NPMA _ 1103.0
80735,7459.7842,1/1/2019,1,HG2021GD04__NEW _ 1062.0
80652,7140,1/1/2019,1,2R5310A__MR1 _ 1103.0
81186,9995,1/1/2019,1,HG2021KB02__NEW _ 1062.0
81265,10540.04,1/1/2019,1,7001483__CAR _ 1103.0
81253,10448,1/1/2019,1,8521858-108 _ 1073.0
81108,9410.18,1/1/2019,1,7001482__CAR _ 1103.0
80987,8421,1/1/2019,1,4091679-901__OEM _ 1103.0
80991,8445.04,1/1/2019,1,4091600-912-NPMA _ 1103.0
80961,8281.87,1/1/2019,1,4091600-911-NPMA _ 1103.0
81003,8527.4267,1/1/2019,1,3757528-1 _ 1008.0
76006,1573,1/1/2019,1,HG9869J1-001 _ 1039.0
76005,1571.27,1/1/2019,1,7018370-906//CM _ 1103.0
76007,1573,1/1/2019,1,34200750-R041-960 _ 1039.0
76008,1573,1/1/2019,1,34209950-RN14-021 _ 1039.0
78381,2834.72,1/1/2019,1,7000261-604__CAR _ 1103.0
78402,2850,1/1/2019,1,80-5184-1 _ 1600.0
78403,2850.345,1/1/2019,1,3757529-1 _ 1008.0
78377,2833,1/1/2019,1,8525420-3 _ 1073.0
78277,2761.0243,1/1/2019,1,HG9922EA01 _ 1039.0
78305,2775,1/1/2019,1,980-6022-001 _ 5253.0
78306,2775,1/1/2019,1,980-6032-001 _ 5253.0
78221,2719.65,1/1/2019,1,8529742-921 _ 1008.0
78222,2719.85,1/1/2019,1,5050051-9 _ 1008.0
75779,1500,1/1/2019,1,HG9869C7-001 _ 1039.0
75692,1476,1/1/2019,1,HG9873N02-005 _ 1039.0
75806,1509.6667,1/1/2019,1,34209200-R0H4-001 _ 1039.0
75891,1528.72,1/1/2019,1,7008465-8__MAJ _ 1009.0
76949,1942.22,1/1/2019,1,8064069-0502 _ 5253.0
76916,1925,1/1/2019,1,HG9869T2-012 _ 1039.0
75770,1500,1/1/2019,1,980-4700-027 _ 5253.0
76877,1900,1/1/2019,1,2816638-2 _ 1073.0
76882,1902.3333,1/1/2019,1,34209950-RN12-001 _ 1039.0
75836,1517.41,1/1/2019,1,34210908-002 _ 1039.0
75527,1422,1/1/2019,1,HG9886CA01 _ 1039.0
80726,7432,1/1/2019,1,8503421-916 _ 1073.0
79053,3557.0813,1/1/2019,1,8529742-920 _ 1008.0
78966,3445,1/1/2019,1,4006719-908__CAR _ 1103.0
79541,4235.7776,1/1/2019,1,6256-162__REP _ 1103.0
78918,3400,1/1/2019,1,HG9869C2 _ 1039.0
78919,3400,1/1/2019,1,HG9907A04-018 _ 1039.0
79028,3523.4829,1/1/2019,1,4089320-1006 _ 5253.0
79034,3532,1/1/2019,1,HG9914A01 _ 1039.0
78877,3348.85,1/1/2019,1,964-0401-017__CAR _ 5210.0
79365,3989.1153,1/1/2019,1,6256-176__REP _ 1103.0
79467,4122,1/1/2019,1,360-0102-003__CAR _ 1009.0
79380,4000,1/1/2019,1,8501101-925 _ 1008.0
79429,4082.34,1/1/2019,1,4012373-905__CAR _ 1103.0
79431,4083.4,1/1/2019,1,4012373-908__CAR _ 1103.0
79432,4083.4,1/1/2019,1,4012373-909__CAR _ 1103.0
79449,4096.0618,1/1/2019,1,6256-171__EXC _ 1103.0
79342,3964.47,1/1/2019,1,4012373-908__MIN _ 1103.0
79662,4392.155,1/1/2019,1,6256-164__REP _ 1103.0
79664,4394.6333,1/1/2019,1,8528900-930 _ 1008.0
79516,4182,1/1/2019,1,4006719-913__CAR _ 1103.0
79331,3956.5,1/1/2019,1,9200-44000-0101__RPR _ 1103.0
79334,3957.79,1/1/2019,1,7036410-1901 _ 1103.0
79341,3964.21,1/1/2019,1,6256-173__REP _ 1103.0
79202,3766.76,1/1/2019,1,3822327-1 _ 1008.0
80190,5628.03,1/1/2019,1,153-018132-23__NEW _ 1009.0
80466,6304,1/1/2019,1,7023172-902 _ 1103.0
80469,6304,1/1/2019,1,7023172-907__STD _ 1103.0
80125,5445,1/1/2019,1,7516193-901 _ 1103.0
80166,5567.67,1/1/2019,1,4073970-951 _ 1009.0
80400,6099.11,1/1/2019,1,4012373-918__CAR _ 1103.0
80379,6034.5136,1/1/2019,1,4012373-919__CAR _ 1103.0
80401,6099.11,1/1/2019,1,4012373-920__CAR _ 1103.0
80418,6172.9,1/1/2019,1,7023173-902 _ 1103.0
79161,3713.8071,1/1/2019,1,4006719-921__CAR _ 1103.0
79061,3565.44,1/1/2019,1,7034595-906__MAJ _ 5210.0
79069,3573.9317,1/1/2019,1,1153396-1__NEW _ 1103.0
79183,3753,1/1/2019,1,8520115-906 _ 1008.0
79184,3753.95,1/1/2019,1,5160455__RPR _ 1073.0
79199,3766.3158,1/1/2019,1,15653-2A _ 1008.0
79167,3725.77,1/1/2019,1,4006719-906__CAR _ 1103.0
80314,5871.25,1/1/2019,1,8525420-2__MAJ _ 1073.0
80227,5707.6983,1/1/2019,1,3757512-4 _ 1008.0
80230,5714.58,1/1/2019,1,7516330-2 _ 5253.0
79125,3665.2857,1/1/2019,1,8525350-920 _ 1008.0
79122,3660.3753,1/1/2019,1,7034595-906__MAJ _ 1009.0
81994,31028.307,1/1/2019,1,4004303-901 _ 1008.0
82005,31786,1/1/2019,1,K9321061A12__NEW _ 1103.0
82006,31786,1/1/2019,1,K9321063A00__NEW _ 1103.0
81912,23212,1/1/2019,1,7023170-902 _ 1103.0
81923,23625,1/1/2019,1,K9321060A13__NEW _ 1103.0
80816,7865,1/1/2019,1,145130-1002__MAX _ 1103.0
81929,23625,1/1/2019,1,K9321060A13__NEW _ 1009.0
81935,24557,1/1/2019,1,5206863-19 _ 1073.0
81859,20756,1/1/2019,1,7023172-907__MAJ _ 1103.0
81866,21114.3975,1/1/2019,1,7023170-905 _ 1103.0
82132,58837.62,1/1/2019,1,7516118-57010 _ 1103.0
81824,19855.836,1/1/2019,1,7023170-907 _ 1103.0
81896,22254,1/1/2019,1,4089200-901__NEW _ 1103.0
81901,22552.6154,1/1/2019,1,7516194-901 _ 1103.0
81805,19264.875,1/1/2019,1,2R9227A _ 1073.0
81898,22254,1/1/2019,1,4089200-901__NEW _ 1009.0
80843,7976.9662,1/1/2019,1,2-8486-3__MAX _ 1103.0
80539,6633.06,1/1/2019,1,1152682-2__NEW _ 1103.0
80899,8200,1/1/2019,1,8001030-920 _ 1008.0
80888,8173.6757,1/1/2019,1,2R5310A__NEW _ 1103.0
80848,7998.9905,1/1/2019,1,8486-3__NEW _ 1103.0
80844,7981.5978,1/1/2019,1,1-8486-3__NEW _ 1103.0
80858,8040.95,1/1/2019,1,7000260-503__CAR _ 1103.0
80865,8065.2355,1/1/2019,1,3-8486-3__REP _ 1103.0
80946,8244.0298,1/1/2019,1,V9519311 _ 1073.0
80948,8244.5,1/1/2019,1,HG2021GD04__NEW _ 1009.0
82012,31786,1/1/2019,1,K9321061A12__NEW _ 1009.0
81783,18534.7143,1/1/2019,1,8525400-910 _ 1073.0
81790,18654,1/1/2019,1,145130-1002__OVL _ 1103.0
81459,12480.2062,1/1/2019,1,9200-44000-0101__NEW _ 1103.0
81657,15327.0855,1/1/2019,1,V9519310 _ 1008.0
81679,15840.9524,1/1/2019,1,8525420-2__OVR _ 1073.0
81681,15954,1/1/2019,1,G7284-02__NEW _ 1103.0
79397,4023,1/1/2019,1,1153236-1__NEW _ 1103.0
79421,4078,1/1/2019,1,8520305-911 _ 1008.0
81638,14821.59,1/1/2019,1,7023170-906 _ 1103.0
81641,14907.795,1/1/2019,1,7023171-901 _ 1103.0
81611,14146.0769,1/1/2019,1,2R9225A _ 1073.0
81622,14466.3333,1/1/2019,1,8520115-905 _ 1008.0
82200,150829.46,1/1/2019,1,7516118-47145 _ 5210.0
82058,38540.77,1/1/2019,1,145130-1002__NEW _ 1103.0
75407,1383,1/1/2019,1,HG9873N02-001 _ 1039.0
39536,12.66,1/1/2019,1,4073215-977 _ 5210.0
40732,14.41,1/1/2019,1,10093194-101 _ 1062.0
35802,8.25,1/1/2019,1,0039014030 _ 1006.0
36005,8.46,1/1/2019,1,402-6068-107 _ 5253.0
40265,13.7584,1/1/2019,1,10089634-102 _ 1062.0
38893,11.73,1/1/2019,1,61-4071-1 _ 1600.0
73588,956,1/1/2019,1,9200-44000-0101__NFF _ 1103.0
73751,991.11,1/1/2019,1,980-6116-004__MIN _ 5210.0
72321,755.89,1/1/2019,1,25-1651-22 _ 1600.0
72273,750,1/1/2019,1,34209950-DJA4 _ 1039.0
73048,860,1/1/2019,1,HG9922E01 _ 1039.0
72952,849.77,1/1/2019,1,F57452011200 _ 1600.0
74859,1231.82,1/1/2019,1,722-4298-002 _ 5253.0
75331,1360.1094,1/1/2019,1,34210908-003 _ 1039.0
72799,825,1/1/2019,1,MC8120-01//U__GAS _ 1064.0
72266,750,1/1/2019,1,2815262-1 _ 1008.0
72826,829.82,1/1/2019,1,4091164-901 _ 5253.0
72852,832.8793,1/1/2019,1,4005842__MIN _ 1103.0
75382,1375,1/1/2019,1,HH0035B1-001 _ 1039.0
36928,9.42,1/1/2019,1,4038540-401 _ 1103.0
35065,7.65,1/1/2019,1,53000753-2 _ 1600.0
36159,8.65,1/1/2019,1,04750394-0501 _ 5253.0
36174,8.67,1/1/2019,1,02050000004 _ 1006.0
37686,10.24,1/1/2019,1,7012538-36 _ 1103.0
33332,6.163,1/2/2019,2,53001459-1 _ 1064.0
33334,6.1653,1/2/2019,2,614-0034-002 _ 1095.0
33322,6.15,1/2/2019,2,91-1793-1 _ 1600.0
33330,6.16,1/2/2019,2,60-3341-510C687 _ 1600.0
34557,7.2,1/2/2019,2,81-0849-1 _ 1600.0
33944,6.6552,1/2/2019,2,4440471 _ 1600.0
24221,1.92,1/2/2019,2,10148294-104 _ 1064.0
34555,7.2,1/2/2019,2,8528933-7 _ 1073.0
23918,1.85,1/2/2019,2,DIN84M3X6STNR _ 5253.0
34561,7.21,1/2/2019,2,7003216-134 _ 1103.0
34558,7.2,1/2/2019,2,MISC933 _ 1600.0
23917,1.85,1/2/2019,2,KAS30 _ 5253.0
24530,2.01,1/2/2019,2,22009264-001 _ 1065.0
33020,5.95,1/2/2019,2,34212928-001 _ 1039.0
33328,6.16,1/2/2019,2,JM38510/32403BRX _ 1039.0
24527,2.01,1/2/2019,2,04750716-0002 _ 1009.0
24534,2.01,1/2/2019,2,11639-7 _ 1600.0
33364,6.19,1/2/2019,2,56011152-001 _ 1045.0
33351,6.18,1/2/2019,2,68009695-001 _ 1064.0
33368,6.2,1/2/2019,2,7026400-400 _ 5210.0
24526,2.01,1/2/2019,2,2500856-6 _ 1009.0
23915,1.848,1/2/2019,2,RSY7105A5-1 _ 1009.0
33310,6.15,1/2/2019,2,53000906-1 _ 5210.0
33312,6.15,1/2/2019,2,402-6072-121 _ 1009.0
24532,2.01,1/2/2019,2,26004471-101 _ 1062.0
33313,6.15,1/2/2019,2,007-06128-0000 _ 1009.0
33317,6.15,1/2/2019,2,M55342K06B4E87R _ 1045.0
24536,2.01,1/2/2019,2,53002051-9 _ 1600.0
24535,2.01,1/2/2019,2,729997993 _ 1600.0
33320,6.15,1/2/2019,2,32-4456-1 _ 1600.0
33336,6.17,1/2/2019,2,75000515-005 _ 1095.0
33321,6.15,1/2/2019,2,11-0455-1 _ 1600.0
33323,6.15,1/2/2019,2,91-1793-3 _ 1600.0
33316,6.15,1/2/2019,2,D55342K07B13E0P _ 1045.0
34563,7.21,1/2/2019,2,53000895-1 _ 1073.0
34529,7.18,1/2/2019,2,WI099 _ 1600.0
34566,7.21,1/2/2019,2,AL100 _ 1600.0
34535,7.19,1/2/2019,2,374-0161-001 _ 5210.0
34539,7.19,1/2/2019,2,M24308/4-2F _ 1064.0
23926,1.85,1/2/2019,2,7007196 _ 1009.0
34541,7.1924,1/2/2019,2,752-15318-001 _ 1095.0
23925,1.85,1/2/2019,2,53001970-2 _ 1009.0
34543,7.2,1/2/2019,2,75000309-002 _ 1095.0
34545,7.2,1/2/2019,2,751-0053-001 _ 5253.0
23923,1.85,1/2/2019,2,310-0548-003 _ 5210.0
34547,7.2,1/2/2019,2,321-2473-001 _ 5210.0
34537,7.19,1/2/2019,2,M55302/64-B14F _ 1073.0
34523,7.17,1/2/2019,2,52000823-25 _ 1073.0
34577,7.23,1/2/2019,2,076-02176-0001 _ 5210.0
34581,7.23,1/2/2019,2,M55342K08B20E0S _ 1006.0
23892,1.84,1/2/2019,2,108-0302-001//TE _ 1045.0
34614,7.25,1/2/2019,2,ML425PJB104MLZ _ 1045.0
23908,1.8435,1/2/2019,2,10164531-A13 _ 1064.0
34565,7.21,1/2/2019,2,16-0047-1 _ 1600.0
23929,1.85,1/2/2019,2,D55342K07B10E0S _ 1045.0
23930,1.85,1/2/2019,2,74374984-053 _ 1045.0
23913,1.8472,1/2/2019,2,MC6124-01//U _ 1064.0
34569,7.22,1/2/2019,2,030-00450-0000 _ 5210.0
23911,1.847,1/2/2019,2,007-00963-0000 _ 1009.0
34571,7.22,1/2/2019,2,56000027-008 _ 1045.0
34573,7.22,1/2/2019,2,LD03YC105KAB2A _ 1006.0
23909,1.844,1/2/2019,2,4089929-977 _ 5210.0
34575,7.22,1/2/2019,2,46-1444-3 _ 1600.0
23919,1.85,1/2/2019,2,DIN963M3X8STNR _ 5253.0
34553,7.2,1/2/2019,2,7009565-902 _ 1103.0
34549,7.2,1/2/2019,2,7000051-174 _ 5210.0
34548,7.2,1/2/2019,2,405-7051-001 _ 5210.0
34525,7.17,1/2/2019,2,86-0691-1 _ 1600.0
34527,7.18,1/2/2019,2,D55342E07B29B8R _ 1039.0
23931,1.85,1/2/2019,2,PLT0805Z5001AS _ 1045.0
34531,7.1815,1/2/2019,2,613-0985-001 _ 1095.0
34533,7.1892,1/2/2019,2,4440065 _ 1600.0
33362,6.19,1/2/2019,2,037-0256-203 _ 1009.0
33307,6.15,1/2/2019,2,403-2062-025 _ 5253.0
33358,6.1895,1/2/2019,2,NAS1351N6-14//N _ 1006.0
33286,6.13,1/2/2019,2,033-00216-0000 _ 5210.0
33288,6.14,1/2/2019,2,047-03872-0001 _ 1009.0
24550,2.02,1/2/2019,2,009-00029-0000 _ 5210.0
33290,6.14,1/2/2019,2,M55342E12B25B5S _ 1045.0
33291,6.14,1/2/2019,2,M55342E12B4B22S _ 1045.0
33292,6.14,1/2/2019,2,M55342E12B150AS _ 1045.0
24549,2.02,1/2/2019,2,431-0342-006 _ 5210.0
24548,2.02,1/2/2019,2,53502573-4 _ 5210.0
33296,6.14,1/2/2019,2,BR280 _ 1600.0
24546,2.02,1/2/2019,2,75001542-027 _ 1095.0
33298,6.1423,1/2/2019,2,120-03022-0002 _ 5210.0
33300,6.145,1/2/2019,2,643-0726-002 _ 1009.0
33301,6.145,1/2/2019,2,120-03094-0000 _ 1009.0
24544,2.0175,1/2/2019,2,10155448-101 _ 1064.0
33304,6.15,1/2/2019,2,75000515-003 _ 1095.0
24554,2.02,1/2/2019,2,4031353-203 _ 1103.0
33282,6.12,1/2/2019,2,60-3391-9 _ 1600.0
33366,6.19,1/2/2019,2,8521871-5 _ 1073.0
33369,6.2,1/2/2019,2,7021289-36 _ 5210.0
24480,2,1/2/2019,2,5187047-07 _ 1073.0
33430,6.25,1/2/2019,2,047-05138-0011 _ 5210.0
24479,2,1/2/2019,2,8650334-0001 _ 1073.0
33435,6.25,1/2/2019,2,2500169-252 _ 1103.0
24469,2,1/2/2019,2,100-150028-3 _ 1009.0
24477,2,1/2/2019,2,58036983-001 _ 1065.0
33438,6.25,1/2/2019,2,6732-0604 _ 1009.0
33281,6.12,1/2/2019,2,31-4026-3 _ 1600.0
33439,6.25,1/2/2019,2,4054336 _ 1009.0
24475,2,1/2/2019,2,64002865-004 _ 1006.0
33445,6.25,1/2/2019,2,RNC50J1101BS _ 1006.0
33446,6.25,1/2/2019,2,60-G28-76//U _ 1006.0
33447,6.25,1/2/2019,2,95-A05-78-714//U _ 1006.0
24470,2,1/2/2019,2,100-150067-1 _ 1009.0
33437,6.25,1/2/2019,2,NAS1611-130:1009 _ 1009.0
24223,1.92,1/2/2019,2,11-3676-1 _ 1600.0
33440,6.25,1/2/2019,2,7000051-138 _ 1009.0
33360,6.19,1/2/2019,2,7015902 _ 5210.0
33279,6.12,1/2/2019,2,NS01012R00FE12//TE _ 1039.0
24558,2.02,1/2/2019,2,RG155 _ 1600.0
24540,2.0113,1/2/2019,2,4440520 _ 1600.0
33339,6.17,1/2/2019,2,088-03229-0012 _ 5210.0
33342,6.17,1/2/2019,2,7013067 _ 1103.0
33344,6.17,1/2/2019,2,012-01059-0000 _ 1009.0
24522,2.01,1/2/2019,2,230-15501-9057 _ 5210.0
33346,6.17,1/2/2019,2,32-4322-1 _ 1600.0
24521,2.01,1/2/2019,2,017-00106-0002 _ 5210.0
33348,6.18,1/2/2019,2,M39003/01-6078 _ 1073.0
24520,2.01,1/2/2019,2,104-0229-267 _ 5210.0
33338,6.17,1/2/2019,2,108-05016-0050 _ 5210.0
33350,6.18,1/2/2019,2,68009424-001 _ 1064.0
24519,2.0025,1/2/2019,2,SW64895 _ 1600.0
33354,6.18,1/2/2019,2,16-2415-1 _ 1600.0
24517,2.0021,1/2/2019,2,M55342K12B30E1R _ 1045.0
33356,6.1888,1/2/2019,2,B3598 _ 1600.0
33306,6.15,1/2/2019,2,402-6086-013 _ 5253.0
33265,6.1028,1/2/2019,2,53504276-1 _ 1039.0
